OC	MC
_	keam
_	sjwen
_	lwoj
_	tsi
_	tsrea
_	tsu
_	aew
_	xi
_	swij
_	mj+j
_	hwae
_	tej
_	paen
_	khjo
_	xjo
_	dzyej
_	tsyowng
_	nyu
_	mea
_	sju
_	ku
_	tshjem
_	nyo
_	kjwen
_	kjin
_	ban
_	hwan
_	ham
_	pea
_	dzyuw
_	bjang
_	maen
_	trhjuw
_	hwoj
_	nyi
_	lwa
_	ngen
_	dzyim
_	ngae
_	khjaeng
_	mej
_	dzyi
_	li
_	pjem
_	baewng
_	drja
_	khu
_	trhje
_	pjien
_	xwoj
_	hwea
_	min
_	ban
_	dzrae
_	keang
_	heaj
_	ngang
_	dzje
_	tsywen
_	yi
_	pjuw
_	tshju
_	kin
_	thuwng
_	tsowng
_	kjwej
_	trjew
_	tsyo
_	sim
_	gjuwng
_	pje
_	sen
_	tshjeng
_	thang
_	yweng
_	tshjwej
_	dang
_	gjwij
_	dzrea
_	dzjang
_	khjaeng
_	sow
_	swin
_	mu
_	yej
_	trhjow
_	daw
_	tsej
_	gj+j
_	u
_	trhjew
_	syu
_	phej
_	ywi
_	sraew
_	bje
_	thu
_	lwa
_	he
_	thu
_	te
_	dwa
_	gjwij
_	doj
_	srim
_	trhae
_	dri
_	syi
_	luw
_	sri
_	tsyim
_	han
_	dza
_	kim
_	bjon
_	sje
_	gwij
_	yin
_	tej
_	tsyhwe
_	sje
_	zi
_	kae
_	yuw
_	kej
_	tsyhwen
_	saw
_	tsrhjwe
_	khje
_	kjw+j
_	bea
_	kaew
_	dzyej
_	ha
_	tsyeng
_	gjwen
_	kej
_	phae
_	hwe
_	pjuwng
_	bjuw
_	khij
_	kju
_	xaeng
_	yi
_	pje
_	hjem
_	dzraen
_	hwa
_	ljwe
_	kim
_	tso
_	ha
_	lwa
_	syae
_	syej
_	trhae
_	sam
_	zwin
_	dej
_	dzreang
_	xaew
_	lej
_	syen
_	tsraew
_	kwe
_	dzyi
_	da
_	tsrhae
_	khweaj
_	tsyhow
_	swon
_	kwon
_	kjaem
_	kweng
_	u
_	ha
_	hwaen
_	tsjow
_	du
_	tshje
_	ben
_	traew
_	duwng
_	khaw
_	ljwen
_	keaj
_	yeng
_	sjuwng
_	tsyem
_	tsyen
_	tshwoj
_	hae
_	tsywij
_	khom
_	de
_	how
_	mea
_	buwng
_	den
_	ka
_	dzywen
_	dzrjwen
_	khaew
_	hjwen
_	zjuw
_	trhje
_	pae
_	tam
_	drjew
_	bjuw
_	xu
_	hea
_	pju
_	mjun
_	ljuw
_	kho
_	zi
_	dzjae
_	yin
_	ljuwng
_	j+j
_	khu
_	xjon
_	tsrhaewng
_	tsrae
_	muw
_	jwe
_	syo
_	lang
_	tsja
_	taw
_	dzaw
_	trhjuw
_	xj+j
_	dzyi
_	tsrim
_	tsyae
_	woj
_	dzyem
_	sin
_	yem
_	trjow
_	jiew
_	yuw
_	nyi
_	tho
_	uwng
_	hea
_	paew
_	srwae
_	duw
_	tsu
_	kaew
_	do
_	zwin
_	tsrhea
_	swon
_	te
_	xjwon
_	lu
_	ki
_	pu
_	dzi
_	khin
_	ku
_	srwaen
_	yang
_	tsew
_	tsyem
_	dzyin
_	srin
_	drjeng
_	dwo
_	thwan
_	seng
_	dzen
_	ljuw
_	tsyhwi
_	phj+j
_	tu
_	pea
_	yuw
_	khjang
_	sying
_	yin
_	jwien
_	tsyhowng
_	mjaeng
_	kje
_	ywen
_	heaj
_	tsjuw
_	ywej
_	ngjwon
_	sin
_	drjwen
_	buw
_	dzi
_	hwang
_	nyem
_	tsje
_	tsuw
_	pjien
_	zywin
_	ywi
_	xim
_	suw
_	gja
_	lwa
_	maew
_	trhae
_	heng
_	zywen
_	tsju
_	tsrhje
_	mjon
_	kjaeng
_	bo
_	dzyew
_	ljiw
_	mjuwng
_	maeng
_	sri
_	dzyang
_	kwea
_	le
_	bjaeng
_	drje
_	saw
_	srjuw
_	xing
_	tswan
_	hea
_	hej
_	gje
_	ko
_	thwa
_	bji
_	ke
_	khuwng
_	ljwen
_	sej
_	haeng
_	hwan
_	hjuw
_	khju
_	kwae
_	nyi
_	jwien
_	dza
_	ke
_	khej
_	dan
_	kjen
_	pwon
_	twon
_	eang
_	tsyae
_	sje
_	tew
_	phju
_	khjow
_	hwa
_	duwng
_	twoj
_	kan
_	tshu
_	ngje
_	xjwon
_	pjew
_	aen
_	sye
_	pwoj
_	pj+j
_	tsyij
_	tsjen
_	kej
_	yu
_	tsyhi
_	tswan
_	xja
_	tso
_	pjoj
_	loj
_	tsyhwen
_	buw
_	theng
_	wae
_	pjij
_	jwon
_	xwen
_	tsyhuwng
_	keaj
_	xi
_	yae
_	tsyeng
_	daw
_	ko
_	sje
_	thuw
_	hweaj
_	drjowng
_	phj+j
_	dza
_	dzyow
_	duw
_	xwo
_	xwa
_	mjie
_	jo
_	gjow
_	ye
_	ye
_	bong
_	ki
_	lu
_	kwaen
_	san
_	kuw
_	hju
_	hu
_	juw
_	xje
_	ye
_	tsyhing
_	khen
_	phjoj
_	hwo
_	nrij
_	trhjem
_	lje
_	noj
_	tsrae
_	tsri
_	la
_	syuw
_	dzin
_	tsyin
_	phjie
_	kwae
_	syi
_	sen
_	tsrhweaj
_	dzri
_	bjen
_	khi
_	the
_	tsrhea
_	pju
_	gjuw
_	kwan
_	sjwen
_	sjwe
_	nye
_	zywi
_	kwean
_	bjom
_	bjom
_	mij
_	xjae
_	se
_	ju
_	phae
_	maew
_	du
_	zyim
_	pej
_	kwan
_	syij
_	xwe
_	to
_	ju
_	mea
_	sim
_	kjang
_	ngjwe
_	trje
_	mjen
_	xeng
_	bij
_	khaew
_	li
_	tsoj
_	jew
_	khwa
_	phju
_	khaew
_	si
_	tsong
_	khi
_	luwng
_	maen
_	trhjuw
_	khwan
_	mwo
_	dzye
_	dzyin
_	su
_	draew
_	suw
_	ywen
_	to
_	tong
_	khjae
_	tej
_	syae
_	zje
_	nyu
_	bju
_	hwej
_	gin
_	drje
_	yu
_	jen
_	xjang
_	zjuw
_	jang
_	trij
_	kjo
_	sjen
_	syi
_	pa
_	dow
_	heang
_	tsye
_	kaem
_	tshim
_	lje
_	gi
_	yen
_	ngwan
_	hwej
_	ben
_	tsi
_	bean
_	sje
_	phjien
_	sri
_	hea
_	tri
_	dom
_	drjuwng
_	tsheng
_	sri
_	khwin
_	dzwij
_	li
_	hoj
_	kean
_	kong
_	kea
_	lje
_	pjen
_	nywij
_	bjo
_	kea
_	kjae
_	kwae
_	yem
_	zywi
_	bje
_	nging
_	tsyhe
_	khjom
_	sjang
_	tan
_	gjo
_	pha
_	king
_	kjwin
_	kjo
_	xjwoj
_	sraem
_	duw
_	jw+j
_	gjwen
_	ngew
_	drae
_	jin
_	hean
_	bjin
_	kha
_	trhjo
_	srean
_	yae
_	pan
_	thon
_	xu
_	tsywin
_	hwaj
_	tsyo
_	xan
_	srwij
_	tshan
_	ngin
_	mje
_	ngjwon
_	kjwe
_	de
_	hjwen
_	kwa
_	sje
_	gjo
_	dwoj
_	daw
_	yeng
_	tring
_	lin
_	lje
_	kwe
_	gjun
_	yej
_	la
_	hae
_	gju
_	pjie
_	huw
_	da
_	khe
_	sraeng
_	kea
_	lwin
_	wae
_	trjang
_	yuw
_	mwoj
_	phuw
_	ngu
_	mae
_	MC
_	tsha
_	kwae
_	tshu
_	bea
_	nraew
_	tsa
_	trhi
_	la
_	khew
_	ngan
_	phaj
_	kaen
_	luwng
_	tsyin
_	paw
_	kan
_	hwae
_	gij
_	se
_	tsin
_	srje
_	kaen
_	khwon
_	trhjeng
_	dzjem
_	kom
_	syo
_	xwi
_	tsyij
_	hwan
_	srean
_	dong
_	dzen
_	ten
_	pa
_	zywin
_	phwoj
_	jun
_	nyim
_	li
_	hjuwng
_	yi
_	thej
_	tsyim
_	gjwen
_	mjie
_	tsjeng
_	saw
_	kom
_	den
_	thang
_	dang
_	hwae
_	pjaeng
_	khjej
_	bjuw
_	mjie
_	sywe
_	kej
_	dzo
_	tswi
_	dwoj
_	pjiej
_	dzjew
_	bjun
_	zwin
_	bwoj
_	bij
_	sjwe
_	tsjem
_	mj+j
_	tshaj
_	sja
_	paen
_	tshoj
_	tsjem
_	bjiew
_	haw
_	koj
_	tshaw
_	dzow
_	thang
_	khjen
_	traew
_	tswaj
_	xjwoj
_	lwij
_	yuw
_	xjwon
_	xuw
_	mij
_	zim
_	daw
_	khwo
_	kew
_	zjowng
_	dzjeng
_	daw
_	ye
_	yuw
_	hom
_	kwea
_	bjuw
_	lej
_	tshjen
_	kjwen
_	mjin
_	tshi
_	haew
_	xj+j
_	jiem
_	tsri
_	ye
_	de
_	khej
_	hwaj
_	tshwan
_	dang
_	tsye
_	lu
_	phim
_	sjen
_	yu
_	tshjuw
_	sraewng
_	taj
_	pjowng
_	khjo
_	dzyi
_	drjew
_	ling
_	kwij
_	xae
_	pen
_	paew
_	ljuw
_	kean
_	kea
_	se
_	zjen
_	trjwej
_	na
_	tshjae
_	xin
_	kjwaeng
_	tsyej
_	kjae
_	drij
_	khan
_	srjuw
_	kjuw
_	kwan
_	nyin
_	hwij
_	thaw
_	den
_	ngjw+j
_	trhin
_	ngjae
_	da
_	do
_	ngjoj
_	gj+n
_	kwen
_	bu
_	thang
_	dzrae
_	si
_	ya
_	dzye
_	hweaj
_	se
_	drjo
_	luw
_	syang
_	khwa
_	swin
_	srij
_	khweaj
_	ho
_	zyae
_	haj
_	kwij
_	im
_	king
_	no
_	xjw+j
_	syang
_	hu
_	kje
_	hwan
_	tswij
_	ngea
_	zye
_	xaeng
_	trju
_	zjowng
_	syowng
_	xwoj
_	khwen
_	hoj
_	heng
_	yem
_	syi
_	tsyi
_	loj
_	sje
_	sij
_	pjowng
_	sew
_	de
_	drae
_	hea
_	dzyim
_	zyi
_	sye
_	ij
_	kaj
_	bju
_	tsong
_	zying
_	twan
_	kjwij
_	dzo
_	pea
_	nguw
_	phjang
_	dam
_	om
_	ngju
_	drjuw
_	hwae
_	neng
_	lwon
_	bjie
_	hjwaeng
_	noj
_	keang
_	mjun
_	trhae
_	hwoj
_	ki
_	kjem
_	swin
_	ew
_	hean
_	khj+
_	drij
_	jiew
_	pae
_	ej
_	ljem
_	ljuw
_	ngaen
_	kaew
_	si
_	luwng
_	da
_	buwng
_	kwa
_	tsri
_	nwoj
_	pje
_	ha
_	tha
_	sjwen
_	doj
_	mej
_	tshjwe
_	xu
_	syim
_	ka
_	phaew
_	ha
_	khweaj
_	tsyowng
_	bjom
_	pje
_	nyen
_	lej
_	dam
_	nrea
_	xjwaeng
_	srje
_	ywi
_	tsjej
_	lja
_	nyang
_	den
_	kow
_	hju
_	da
_	ne
_	khong
_	men
_	xjuw
_	bi
_	min
_	xo
_	nyin
_	dring
_	yi
_	tshuwng
_	phjuwng
_	lij
_	dom
_	hjwaeng
_	tam
_	jwoj
_	nga
_	zjow
_	gwij
_	hwa
_	ngju
_	dwon
_	heam
_	drje
_	kaew
_	te
_	pij
_	hwon
_	sjo
_	bje
_	dzam
_	tsyuw
_	man
_	kew
_	ngjej
_	ngin
_	la
_	sraeng
_	pong
_	hu
_	sje
_	ae
_	ngwoj
_	ngi
_	tsaw
_	xwa
_	hoj
_	bjuw
_	pjieng
_	trjuw
_	kjo
_	swa
_	ngjwon
_	hje
_	ham
_	jon
_	nong
_	tsyen
_	dzya
_	khwaej
_	nrjuw
_	tsreaj
_	srae
_	then
_	kje
_	kjwi
_	lwi
_	tsya
_	khwij
_	nyow
_	kaew
_	trjen
_	tsje
_	la
_	lwan
_	nyo
_	ma
_	srwij
_	lej
_	drjang
_	nywe
_	tshwoj
_	mjo
_	thew
_	bjun
_	seng
_	tshjwej
_	nga
_	tshjow
_	dzi
_	kaewng
_	ngu
_	den
_	kwij
_	lej
_	paeng
_	trju
_	bae
_	zjwe
_	nowng
_	paej
_	si
_	swi
_	dzywe
_	tshja
_	syij
_	ku
_	sjang
_	duw
_	pi
_	syin
_	dzjeng
_	maew
_	ywin
_	ljeng
_	tshom
_	kjowng
_	twan
_	yae
_	tsrjwe
_	lwij
_	sij
_	yew
_	hae
_	nga
_	khwaej
_	syae
_	trhaewng
_	khej
_	deng
_	huw
_	trhi
_	kwan
_	zywin
_	u
_	trae
_	tsjej
_	jo
_	he
_	ba
_	kjaeng
_	mjuw
_	ej
_	bae
_	tsrheaj
_	bju
_	khaw
_	kjieng
_	king
_	jwang
_	tsang
_	mjiw
_	maewng
